GUID,requiredDVNs,optionalDVNs,DVN_FEES_ARRAY,RequiredDVN_Mapping,OptionalDVN_Mapping
0x946488e39e12e3a2c607bcb7fe8a00c57e64fa740567c27d51777abdcbe6d5d1,[ 0x9e059a54699a285714207b43b055483e78faac25;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0xa0af56164f02bdf9d75287ee77c568889f11d5f2;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ 102173949013399;102173949013399;104532036114391;104532036114391;104532036114391 ],"[('LayerZero Labs', '102173949013399'), ('Google Cloud', '102173949013399')]","[('Canary', '102173949013399'), ('Luganodes', '102173949013399'), ('Deutsche Telekom', '104532036114391')]"
0xb68587d82d7ad523023e96b0d8736ae0864d6b406d055321e510b65dd5daea0b,[ 0x9e059a54699a285714207b43b055483e78faac25;0xcd37ca043f8479064e10635020c65ffc005d36f6;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x133e9fb2d339d8428476a714b1113b024343811e;0x554833698ae0fb22ecc90b01222903fd62ca4b47;0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f;0xa7b5189bca84cd304d8553977c7c614329750d99;0xb3ce0a5d132cd9bf965aba435e650c55edce0062;0xc2a0c36f5939a14966705c7cec813163faeea1f0;0xcdf31d62140204c08853b547e64707110fbc6680;0xdd7b5e1db4aafd5c8ec3b764efb8ed265aa5445b;0xeede111103535e473451311e26c3e6660b0f77e1 ],[ 31915159594592;31620529791622;31915159594592;33240993707955;32651734102016;32651734102016;31915159594592;31620529791622;32651734102016;31620529791622;31620529791622;31620529791622 ],"[('LayerZero Labs', '31915159594592'), ('Nethermind', '31620529791622'), ('Google Cloud', '31915159594592')]","[('BitGo', '31915159594592'), ('Canary', '31620529791622'), ('P2P', '31915159594592'), ('Horizen', '33240993707955'), ('BCW Group', '32651734102016'), ('Deutsche Telekom', '32651734102016'), ('Stargate', '31915159594592'), ('BWare', '31620529791622'), ('Omni X', '32651734102016')]"
0x7ad03effcf0aa1d02676c7d22fead8e3c357d1dfb1095787db022a362ecbe844,[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ ],[ 2334504000000;2334504000000;2334504000000 ],"[('Canary', '2334504000000'), ('P2P', '2334504000000'), ('Deutsche Telekom', '2334504000000')]","[('Unknown DVN', '2334504000000')]"
0xa68b602c695ca30a74e2eb8feee4182fd0f90aba0ec1d45d98285c0e15545b65,[ 0x9e059a54699a285714207b43b055483e78faac25;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0xa0af56164f02bdf9d75287ee77c568889f11d5f2;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ 31243618750276;31243618750276;31964694671044;31964694671044;31964694671044 ],"[('LayerZero Labs', '31243618750276'), ('Google Cloud', '31243618750276')]","[('Canary', '31243618750276'), ('Luganodes', '31243618750276'), ('Deutsche Telekom', '31964694671044')]"
0xe0890d8e4122fb6d07b46be3b2a8351f78f54c4455678edb844db4ebd723d687,[ 0x9e059a54699a285714207b43b055483e78faac25;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0xa0af56164f02bdf9d75287ee77c568889f11d5f2;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ 31243618750276;31243618750276;31964694671044;31964694671044;31964694671044 ],"[('LayerZero Labs', '31243618750276'), ('Google Cloud', '31243618750276')]","[('Canary', '31243618750276'), ('Luganodes', '31243618750276'), ('Deutsche Telekom', '31964694671044')]"
0xa20176c41bab99775c274b72d27677a8ceb43f96f35d80e0b3ac760b12f66733,[ 0x9e059a54699a285714207b43b055483e78faac25;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0xa0af56164f02bdf9d75287ee77c568889f11d5f2;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ 94868114421687;94868114421687;97057589127063;97057589127063;97057589127063 ],"[('LayerZero Labs', '94868114421687'), ('Google Cloud', '94868114421687')]","[('Canary', '94868114421687'), ('Luganodes', '94868114421687'), ('Deutsche Telekom', '97057589127063')]"
0x1a50d068a0cba8916249f32972d1844a86e39769033619837a01f6e453d0bb7c,[ 0x9e059a54699a285714207b43b055483e78faac25;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0xa0af56164f02bdf9d75287ee77c568889f11d5f2;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ 49944468688472;49944468688472;51097144184696;51097144184696;51097144184696 ],"[('LayerZero Labs', '49944468688472'), ('Google Cloud', '49944468688472')]","[('Canary', '49944468688472'), ('Luganodes', '49944468688472'), ('Deutsche Telekom', '51097144184696')]"
0xa19688bcbaaa1489cc30380cd34c9b081e827c14ff663eefee4ec52e01596f64,[ 0x9e059a54699a285714207b43b055483e78faac25;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0xa0af56164f02bdf9d75287ee77c568889f11d5f2;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ 49944468688472;49944468688472;51097144184696;51097144184696;51097144184696 ],"[('LayerZero Labs', '49944468688472'), ('Google Cloud', '49944468688472')]","[('Canary', '49944468688472'), ('Luganodes', '49944468688472'), ('Deutsche Telekom', '51097144184696')]"
0x4fd0a920a4e1c3657324f35a3c42f09a13cb5624c30af17458b445ce300f704d,[ 0x9e059a54699a285714207b43b055483e78faac25;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0xa0af56164f02bdf9d75287ee77c568889f11d5f2;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ 49944468688472;49944468688472;51097144184696;51097144184696;51097144184696 ],"[('LayerZero Labs', '49944468688472'), ('Google Cloud', '49944468688472')]","[('Canary', '49944468688472'), ('Luganodes', '49944468688472'), ('Deutsche Telekom', '51097144184696')]"
0xa640c4e8f6ae73f4dac47984ddde27782746e585a6d7ddf6a17c9ae3f14d6491,[ 0x9e059a54699a285714207b43b055483e78faac25;0xcd37ca043f8479064e10635020c65ffc005d36f6;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x133e9fb2d339d8428476a714b1113b024343811e;0x554833698ae0fb22ecc90b01222903fd62ca4b47;0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f;0xa7b5189bca84cd304d8553977c7c614329750d99;0xb3ce0a5d132cd9bf965aba435e650c55edce0062;0xc2a0c36f5939a14966705c7cec813163faeea1f0;0xcdf31d62140204c08853b547e64707110fbc6680;0xdd7b5e1db4aafd5c8ec3b764efb8ed265aa5445b;0xeede111103535e473451311e26c3e6660b0f77e1 ],[ 54173827709509;53673713519672;54173827709509;56424341563774;55424113184101;55424113184101;54173827709509;53673713519672;55424113184101;53673713519672;53673713519672;53673713519672 ],"[('LayerZero Labs', '54173827709509'), ('Nethermind', '53673713519672'), ('Google Cloud', '54173827709509')]","[('BitGo', '54173827709509'), ('Canary', '53673713519672'), ('P2P', '54173827709509'), ('Horizen', '56424341563774'), ('BCW Group', '55424113184101'), ('Deutsche Telekom', '55424113184101'), ('Stargate', '54173827709509'), ('BWare', '53673713519672'), ('Omni X', '55424113184101')]"
0x4c12f76512c542fd9a5babcce7bac6c4bf2fe86e971e116a3058d1d66ab89422,[ 0x9e059a54699a285714207b43b055483e78faac25;0xcd37ca043f8479064e10635020c65ffc005d36f6;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x133e9fb2d339d8428476a714b1113b024343811e;0x554833698ae0fb22ecc90b01222903fd62ca4b47;0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f;0xa7b5189bca84cd304d8553977c7c614329750d99;0xb3ce0a5d132cd9bf965aba435e650c55edce0062;0xc2a0c36f5939a14966705c7cec813163faeea1f0;0xcdf31d62140204c08853b547e64707110fbc6680;0xdd7b5e1db4aafd5c8ec3b764efb8ed265aa5445b;0xeede111103535e473451311e26c3e6660b0f77e1 ],[ 14226714438342;14095378291974;14226714438342;14817727096998;14555054804262;14555054804262;14226714438342;14095378291974;14555054804262;14095378291974;14095378291974;14095378291974 ],"[('LayerZero Labs', '14226714438342'), ('Nethermind', '14095378291974'), ('Google Cloud', '14226714438342')]","[('BitGo', '14226714438342'), ('Canary', '14095378291974'), ('P2P', '14226714438342'), ('Horizen', '14817727096998'), ('BCW Group', '14555054804262'), ('Deutsche Telekom', '14555054804262'), ('Stargate', '14226714438342'), ('BWare', '14095378291974'), ('Omni X', '14555054804262')]"
0xead8931894b78d14d3db36bea05b0b69bd7d12a8ec06af81ca826c6c40b2e156,[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ ],[ 2318496000000;2318496000000;2318496000000 ],"[('Canary', '2318496000000'), ('P2P', '2318496000000'), ('Deutsche Telekom', '2318496000000')]","[('Unknown DVN', '2318496000000')]"
0x57a6b3b768d90060ce2c087373c1c7334c78b07fde96259506c6c4f8570039a2,[ 0x9e059a54699a285714207b43b055483e78faac25;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0xa0af56164f02bdf9d75287ee77c568889f11d5f2;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ 46077295257109;46077295257109;47140719707701;47140719707701;47140719707701 ],"[('LayerZero Labs', '46077295257109'), ('Google Cloud', '46077295257109')]","[('Canary', '46077295257109'), ('Luganodes', '46077295257109'), ('Deutsche Telekom', '47140719707701')]"
0x5d7542b3b970dee9e9e9fbb8e3947810856e31834098bc310be34a572b8d7c9a,[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ ],[ 19934165853843;19934165853843;19934165853843 ],"[('Canary', '19934165853843'), ('P2P', '19934165853843'), ('Deutsche Telekom', '19934165853843')]","[('Unknown DVN', '19934165853843')]"
0x577a64cb35a02bfa1d9ac1a4f27137d69c937c099b84a80a2235334f162c69ab,[ 0x9e059a54699a285714207b43b055483e78faac25;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0xa0af56164f02bdf9d75287ee77c568889f11d5f2;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ 46077295257109;46077295257109;47140719707701;47140719707701;47140719707701 ],"[('LayerZero Labs', '46077295257109'), ('Google Cloud', '46077295257109')]","[('Canary', '46077295257109'), ('Luganodes', '46077295257109'), ('Deutsche Telekom', '47140719707701')]"
0x03ae2660f232a7f4c4e8b32914d9703ce0b7145187afab007d42a3f3e77304db,[ 0x9e059a54699a285714207b43b055483e78faac25;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0xa0af56164f02bdf9d75287ee77c568889f11d5f2;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ 46077295257109;46077295257109;47140719707701;47140719707701;47140719707701 ],"[('LayerZero Labs', '46077295257109'), ('Google Cloud', '46077295257109')]","[('Canary', '46077295257109'), ('Luganodes', '46077295257109'), ('Deutsche Telekom', '47140719707701')]"
0x76bbe87911714fd30b2e97c82d0b095f1cf5e276a9da79ced9b556c145be4425,[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ ],[ 2406000000000;2406000000000;2406000000000 ],"[('Canary', '2406000000000'), ('P2P', '2406000000000'), ('Deutsche Telekom', '2406000000000')]","[('Unknown DVN', '2406000000000')]"
0x05106c1c97f9687c0a77efba3e30c14785bddb527dc47398ccb4d04c67f77c24,[ 0x9e059a54699a285714207b43b055483e78faac25;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0xa0af56164f02bdf9d75287ee77c568889f11d5f2;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ 150689340197424;150689340197424;154167120911664;154167120911664;154167120911664 ],"[('LayerZero Labs', '150689340197424'), ('Google Cloud', '150689340197424')]","[('Canary', '150689340197424'), ('Luganodes', '150689340197424'), ('Deutsche Telekom', '154167120911664')]"
0x0dc7e66ae6ebb43d8e09392a994ac294ac8deed96c114e92ad6c7c6fe516bdba,[ 0x9e059a54699a285714207b43b055483e78faac25;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0xa0af56164f02bdf9d75287ee77c568889f11d5f2;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ 150689340197424;150689340197424;154167120911664;154167120911664;154167120911664 ],"[('LayerZero Labs', '150689340197424'), ('Google Cloud', '150689340197424')]","[('Canary', '150689340197424'), ('Luganodes', '150689340197424'), ('Deutsche Telekom', '154167120911664')]"
0xab6dea4a49f9d2f9a4fefea7a9141fcfac80e8aa5503f23b4e9f993bab03b9ee,[ 0x9e059a54699a285714207b43b055483e78faac25;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0xa0af56164f02bdf9d75287ee77c568889f11d5f2;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ 150689340197424;150689340197424;154167120911664;154167120911664;154167120911664 ],"[('LayerZero Labs', '150689340197424'), ('Google Cloud', '150689340197424')]","[('Canary', '150689340197424'), ('Luganodes', '150689340197424'), ('Deutsche Telekom', '154167120911664')]"
0x35d372be2ff6e545a8733f9e1414829c17f5c6832e754aa4623164f7f1a7987a,[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ ],[ 292786624980;292786624980;292786624980 ],"[('Canary', '292786624980'), ('P2P', '292786624980'), ('Deutsche Telekom', '292786624980')]","[('Unknown DVN', '292786624980')]"
0xe01c0cba5a8283fee0893945232b08bd0b6a87791033a8b3b72a8f6825adb55e,[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ ],[ 2345244000000;2345244000000;2345244000000 ],"[('Canary', '2345244000000'), ('P2P', '2345244000000'), ('Deutsche Telekom', '2345244000000')]","[('Unknown DVN', '2345244000000')]"
0xa01374a7dca86c5fe7c596fb13f7b113b127f50fd0bdcf2aebb3633fbd6bf8b1,[ 0x9e059a54699a285714207b43b055483e78faac25;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0xa0af56164f02bdf9d75287ee77c568889f11d5f2;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ 1384604387694124;1384604387694124;1416559869283372;1416559869283372;1416559869283372 ],"[('LayerZero Labs', '1384604387694124'), ('Google Cloud', '1384604387694124')]","[('Canary', '1384604387694124'), ('Luganodes', '1384604387694124'), ('Deutsche Telekom', '1416559869283372')]"
0xb96107a1604f509df3dce1cb5de067db30feda03cfca894021dd880f1e427a1d,[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ ],[ 10150359139065;10150359139065;10150359139065 ],"[('Canary', '10150359139065'), ('P2P', '10150359139065'), ('Deutsche Telekom', '10150359139065')]","[('Unknown DVN', '10150359139065')]"
0xd1ba4fd1d417d0e1386d7da2d852362e410e1d4e8159eea447070687eb335723,[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ ],[ 2311908000000;2311908000000;2311908000000 ],"[('Canary', '2311908000000'), ('P2P', '2311908000000'), ('Deutsche Telekom', '2311908000000')]","[('Unknown DVN', '2311908000000')]"
0x1eb1dab48a5afb5d7a3795f1eaa5cb8b99fd64d66aea8c28a69a507c36bbb1f5,[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ ],[ 11279567337600;11279567337600;11279567337600 ],"[('Canary', '11279567337600'), ('P2P', '11279567337600'), ('Deutsche Telekom', '11279567337600')]","[('Unknown DVN', '11279567337600')]"
0x3dd83c545f84fe9c028aede500f099693c0ea8cd6c9ee7504bf42953b4be6eb8,[ 0x9e059a54699a285714207b43b055483e78faac25;0xcd37ca043f8479064e10635020c65ffc005d36f6;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x133e9fb2d339d8428476a714b1113b024343811e;0x554833698ae0fb22ecc90b01222903fd62ca4b47;0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f;0xa7b5189bca84cd304d8553977c7c614329750d99;0xb3ce0a5d132cd9bf965aba435e650c55edce0062;0xc2a0c36f5939a14966705c7cec813163faeea1f0;0xcdf31d62140204c08853b547e64707110fbc6680;0xdd7b5e1db4aafd5c8ec3b764efb8ed265aa5445b;0xeede111103535e473451311e26c3e6660b0f77e1 ],[ 22593285102872;22384711646782;22593285102872;23531865655275;23114718743096;23114718743096;22593285102872;22384711646782;23114718743096;22384711646782;22384711646782;22384711646782 ],"[('LayerZero Labs', '22593285102872'), ('Nethermind', '22384711646782'), ('Google Cloud', '22593285102872')]","[('BitGo', '22593285102872'), ('Canary', '22384711646782'), ('P2P', '22593285102872'), ('Horizen', '23531865655275'), ('BCW Group', '23114718743096'), ('Deutsche Telekom', '23114718743096'), ('Stargate', '22593285102872'), ('BWare', '22384711646782'), ('Omni X', '23114718743096')]"
0x2dad80eef679d146ba8b7fb11024fd4fde88c85a4c55bc194e0eb0742587d11e,[ 0x9e059a54699a285714207b43b055483e78faac25;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0xa0af56164f02bdf9d75287ee77c568889f11d5f2;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ 22593285102872;22593285102872;23114718743096;23114718743096;23114718743096 ],"[('LayerZero Labs', '22593285102872'), ('Google Cloud', '22593285102872')]","[('Canary', '22593285102872'), ('Luganodes', '22593285102872'), ('Deutsche Telekom', '23114718743096')]"
0xe2ee42583f24ec597e7fe5afdfe1067b071b7bedc2dce8d0391534ee834d5f3d,[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ ],[ 9385437120000;9385437120000;9385437120000 ],"[('Canary', '9385437120000'), ('P2P', '9385437120000'), ('Deutsche Telekom', '9385437120000')]","[('Unknown DVN', '9385437120000')]"
0xb958150c30697a224a8e623cbe5ed2170d9614f433f767d3972885d698dfdef5,[ 0x9e059a54699a285714207b43b055483e78faac25;0xcd37ca043f8479064e10635020c65ffc005d36f6;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x133e9fb2d339d8428476a714b1113b024343811e;0x554833698ae0fb22ecc90b01222903fd62ca4b47;0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f;0xa7b5189bca84cd304d8553977c7c614329750d99;0xb3ce0a5d132cd9bf965aba435e650c55edce0062;0xc2a0c36f5939a14966705c7cec813163faeea1f0;0xcdf31d62140204c08853b547e64707110fbc6680;0xdd7b5e1db4aafd5c8ec3b764efb8ed265aa5445b;0xeede111103535e473451311e26c3e6660b0f77e1 ],[ 23249841129614;23035206573556;23249841129614;24215696631873;23786427519758;23786427519758;23249841129614;23035206573556;23786427519758;23035206573556;23035206573556;23035206573556 ],"[('LayerZero Labs', '23249841129614'), ('Nethermind', '23035206573556'), ('Google Cloud', '23249841129614')]","[('BitGo', '23249841129614'), ('Canary', '23035206573556'), ('P2P', '23249841129614'), ('Horizen', '24215696631873'), ('BCW Group', '23786427519758'), ('Deutsche Telekom', '23786427519758'), ('Stargate', '23249841129614'), ('BWare', '23035206573556'), ('Omni X', '23786427519758')]"
0xefef2bbe7e97309dcd4d7f14bebc8521052fb2d124c912045dba738ed1d3ea12,[ 0x9e059a54699a285714207b43b055483e78faac25;0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc ],[ 0x554833698ae0fb22ecc90b01222903fd62ca4b47;0xa0af56164f02bdf9d75287ee77c568889f11d5f2;0xc2a0c36f5939a14966705c7cec813163faeea1f0 ],[ 23249841129614;23249841129614;23786427519758;23786427519758;23786427519758 ],"[('LayerZero Labs', '23249841129614'), ('Google Cloud', '23249841129614')]","[('Canary', '23249841129614'), ('Luganodes', '23249841129614'), ('Deutsche Telekom', '23786427519758')]"
