DVN_Name,DVN_Address
Animoca-Blockdaemon (lzRead),0x41ef29f974fc9f6772654f005271c64210425391
BCW Group,0xb3ce0a5d132cd9bf965aba435e650c55edce0062
BCW Group (lzRead),0xd77a62b54ee18bcd667b6cd158d5a000182af5cf
BitGo,0x133e9fb2d339d8428476a714b1113b024343811e
BWare,0xdd7b5e1db4aafd5c8ec3b764efb8ed265aa5445b
Canary,0x554833698ae0fb22ecc90b01222903fd62ca4b47
Deutsche Telekom,0xc2a0c36f5939a14966705c7cec813163faeea1f0
Frax,0x187cf227f81c287303ee765ee001e151347faaa2
Google Cloud,0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc
Horizen,0xa7b5189bca84cd304d8553977c7c614329750d99
Horizen (lzRead),0x3a4636e9ab975d28d3af808b4e1c9fd936374e30
Lagrange,0xc50a49186aa80427aa3b0d3c2cec19ba64222a29
LayerZero Labs,0x9e059a54699a285714207b43b055483e78faac25
LayerZero Labs (lzRead),0xb1473ac9f58fb27597a21710da9d1071841e8163
Luganodes,0xa0af56164f02bdf9d75287ee77c568889f11d5f2
Mantle Bank,0x761bc869351293c5572ed5581e23e7d5d9c6d3d1
Muon,0xa3858e2a9860c935fc9586a617e9b2a674c3e4c8
Nansen,0x93ac538152e1bc4f093ae5666ee9fd1d84f4f4bf
Nethermind,0xcd37ca043f8479064e10635020c65ffc005d36f6
Nethermind (lzRead),0x658947bc7956aea0067a62cf87ab02ae199ef3f3
Nocturnal Labs (lzRead),0xf4c489afd83625f510947e63ff8f90dfee0ae46c
Omni X,0xeede111103535e473451311e26c3e6660b0f77e1
Omnicat,0xe6cd8c2e46ef396df88048449e5b1c75172b40c3
P2P,0x5b6735c66d97479ccd18294fc96b3084ecb2fa3f
Polyhedra zkBridge,0x8ddf05f9a5c488b4973897e278b58895bf87cb24
Stargate,0xcdf31d62140204c08853b547e64707110fbc6680
Superform,0xeb62f578497bdc351dd650853a751135212faf49
Ubisoft,0x505e855810cb243b2f23e95fdbb8f28d22f87a8c
Zeeve,0x6b34e842175c701f488e2dd335a98caaec49593f